,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,runtime_in_minutes,main_genre,supporting_genre
194,256,"Set eight years after the last Child's Play installment, another doll is possessed by the spirit of Charles Lee Ray (voice by Brad Dourif), and the demon follows his usual target Andy Barclay (Justin Whalin) to a military academy.",R,Horror|Mystery and Suspense,Jack Bender,Don Mancini,1991-08-30,2003-10-07,90,Horror,Mystery and Suspense
197,261,"Tea for Two is a Technicolor adaptation of the 1924 Broadway musical No No Nanette, previously filmed under its own title in 1929. Doris Day stars as Nanette, a Roaring '20s Jazz Baby with showbiz aspirations. Nanette offers to put up",NR,Classics|Comedy|Drama|Musical and Performing Arts,David Butler,Harry Clork|William Jacobs|Harry Clark,1950-09-02,2009-04-07,98,Classics,Comedy|Drama|Musical and Performing Arts
198,263,"Taking his cue from such 1970s horror classics as The Texas Chainsaw Massacre (1974) and The Hills Have Eyes (1977), animated rocker Rob Zombie goes celluloid with the throwback shocker House of 1000 Corpses. Running low on gas as they travel the highways of America in search of the ultimate roadside attraction, a group of teens pull into Captain Spaulding's (Sid Haig) museum of oddities (which also offers fried chicken and gasoline) only to become obsessed with uncovering the mystery of a legendary local maniac known only as Dr. Satan. When an attractive and mysterious hitchhiker subsequently offers to give the thrill seekers a personal tour of Dr. Satan's old stabbing grounds, a breakdown forces them to take refuge with a group of menacing oddballs as a fearsome storm rages outside. As the evening progresses and the backwoods hosts' Halloween festivities become ever more threatening, the teens soon realize that the legend of Dr. Satan may hold a bit more contemporary weight than any of them had previously thought.",R,Horror,Rob Zombie,Rob Zombie,2003-04-11,2003-08-12,88,Horror,
199,264,"In this thriller, the unhappy Laura Burney (Julia Roberts) attempts to escape her miserable marriage and her obsessive, violent husband (Patrick Bergin) by faking a watery death. She travels to a small Southern town and takes on the quiet identity of Sara Waters. As she begins to enjoy her new-found life and freedom, she falls in love with her down-to-earth next-door neighbor, only to find out that her crazed husband has discovered her deception.",R,Drama|Mystery and Suspense,Joseph Ruben,Ronald Bass|Bruce Joel Rubin|Lloyd Fonvielle,1991-02-08,2003-09-02,99,Drama,Mystery and Suspense
201,267,"A serial dater afflicted with a lifelong curse of loneliness attempts to win the love of a clumsy but beautiful penguin expert in the one romantic comedy that proves true love never comes easy. As a ten-year-old boy, Charlie (Dane Cook), breaks the cardinal rule of spin-the-bottle by refusing to kiss a demented goth girl. Crushed by the disheartening snub and determined to ensure that Charlie never finds true love, the vengeful brooder places a hex on the cowardly rule breaker that follows him well into his adult life. Flash-forward 20 years, and Charlie is a successful dentist who just can't seem to maintain a stable relationship. Sure he's had his fair share of one-night stands, but these days Charlie is just looking to find a nice girl he can settle down with. One day, while attending an ex-girlfriend's wedding, Charlie realizes that every girl he has ever dated has proceeded to find true love with the very next man they've met. When word gets out that Charlie is something of a lucky charm for women looking to tie the knot, every women within a 100-mile radius comes calling for a one-night stand; and while taking a bevy of beauties to bed is fun for the time being, it doesn't take long for Charlie to realize just how empty sex can be without true love. Upon meeting hard-to-get aquatic bird specialist Cam (Jessica Alba), Charlie begins to suspect that he has found the woman of his dreams. Cam is the kind of woman whom Charlie would be happy to grow old with, but what will come of their relationship if Charlie and Cam sleep together? Now, in order to ensure that Cam doesn't end up with the next guy she meets, Charlie will finally attempt to break the curse that has plagued him since childhood. Perhaps with a little help from smooth-talking ladies' man and sympathetic best friend Stu (Dan Fogler), Charlie will finally be able to experience true happiness.",R,Comedy,Mark Helfrich,Josh Stolberg,2007-09-21,2008-01-15,101,Comedy,
202,269,"Science fiction blends with domestic horror in this thriller. Spencer Armacost (Johnny Depp) is an astronaut on a routine mission in space when something goes horribly wrong and it looks as if he's doomed. However, Spencer is rescued at the last moment and returns to earth a hero. He soon announces that he's retiring from space exploration to spend more time with his wife Jillian (Charlize Theron). Jillian has suffered from depression in the past and would like to start a family, so she's initially thrilled with Spencer's decision. Jillian soon finds herself pregnant, but she starts to notice something odd about her husband, as if the man who returned isn't quite the same person who went away. As her pregnancy advances, Jillian's anxieties increase, but has something really happened to Spencer, or have Jillian's old demons merely resurfaced? The Astronaut's Wife marked the directorial debut of Rand Ravich, who previously penned screenplays for such films as The Maker and Candyman: Farewell to the Flesh.",R,Horror|Mystery and Suspense|Science Fiction and Fantasy,Rand Ravitch|Rand Ravich,Rand Ravich,1999-08-27,2000-02-08,110,Horror,Mystery and Suspense|Science Fiction and Fantasy
203,270,"In this fourth Cheech and Chong adventure, the duo's view of humor, drugs, and sex are let loose in Amsterdam. Still Smokin' finds the two comedians arriving in the Netherlandish capital to go the city's first film festival, where they are mistaken for Dolly Parton and Burt Reynolds -- a sure sign that the festival and this film are doomed.",R,Comedy|Horror|Musical and Performing Arts,Tommy Chong,Tommy Chong|Cheech Marin,1983-05-05,2000-11-21,91,Comedy,Horror|Musical and Performing Arts
204,271,"Independent filmmaker Debra Granik makes her feature debut with the drama Down to the Bone, based on her award-winning short Snake Feed. Vera Farmiga stars as Irene, a working-class mother living in upstate New York. She struggles to keep her marriage together and raise two sons while keeping her cocaine addiction a secret. Hoping to make a change in her life, she tries to kick her drug habit. However, this proves even more difficult with the oncoming winter and a developing affair. Also starring Hugh Dillon and Clint Jordan, Down to the Bone premiered at the Sundance Film Festival in 2004.",R,Drama,Debra Granik,Debra Granik|Richard Lieske,2005-11-25,2006-10-31,110,Drama,
209,276,"Carl Reiner directs Steve Martin (who co-wrote the script with Carl Gottlieb) in this gag-laden comedy about an idiotic white man, raised by a poor family of black sharecroppers, who doesn't realize he's not black. Navin R. Johnson (Steve Martin) is told the horrible truth when he finds himself instinctively tapping his feet to an easy listening tune on the radio, instead of a low-down blues. His mother (Mabel King) tells him he's white and Navin takes to the road (in a World War II bomber helmet and goggles) to start a new life in St. Louis. A filling station owner, Harry Hartounian (Jackie Mason), give Navin his first break, hiring him to pump gas. One day at the station, Navin has a brainstorm, concocting an invention called ""The Opti-grab,"" a combination handle and nose-brace for eyeglasses. But Navin runs into trouble when a crazed killer (M. Emmet Walsh) picks out his name at random from the telephone book and tries to kill him. Navin escapes to a traveling carnival, where he wrangles a job as the ""guess-your-weight"" man. At the carnival, he discovers his sexual nature, thanks to stunt rider and S&amp;M; enthusiast Patty Bernstein (Catlin Adams). But Navin meets the beautiful Marie (Bernadette Peters) and he quickly falls in love. In the meantime, the ""Opti-grab"" has taken off and soon Navin is a millionaire.",R,Comedy,Carl Reiner,Steve Martin|Carl Gottlieb|Michael Elias,1979-12-14,2005-07-26,99,Comedy,
210,277,"Daisy Clover (Natalie Wood) goes from teenage girl to movie star practically overnight when her demented mother enters her voice in a talent-search contest. From a broken-down carnival on the Santa Monica Pier, in no time at all she is attending glamorous Hollywood parties. But Daisy soon learns that misery and pain go hand-in-hand with fame and fortune. Before Daisy completes her first film, the studio execs have her mother committed to an asylum without permission. Daisy tries to find happiness in a series of unfulfilling romances, her one-day marriage to Wade Lewis (Robert Redford) leaving her alone and divorced. After her mother dies, Daisy has a nervous breakdown and refuses to work, but the cold-hearted studio moguls threaten her with starvation if she does not report back to the soundstage. Christopher Plummer, Ruth Gordon (in an Oscar-nominated performance) and Roddy McDowell co-star in this story of a Hollywood dream that turns into a nightmare.",NR,Classics|Drama,Robert Mulligan,Gavin Lambert,1966-01-01,2009-02-03,128,Classics,Drama
212,279,"After winning a cult following for several offbeat and darkly witty gore films, New Zealand director Peter Jackson abruptly shifted gears with this stylish, compelling, and ultimately disturbing tale of two teenage girls whose friendship begins to fuel an ultimately fatal obsession. Pauline (Melanie Lynskey) is a student in New Zealand who doesn't much care for her family or her classmates; she's a bit overweight and not especially gracious, but she quickly makes friends with Juliet (Kate Winslet), a pretty girl whose wealthy parents have relocated from England. Pauline and Juliet find they share the same tastes in art, literature, and music (especially the vocal stylings of Mario Lanza), and together they begin to construct an elaborate fantasy world named Borovnia, which exists first in stories and then in models made of clay. The more Pauline and Juliet dream of Borovnia, the more the two find themselves retreating into this fantastical world of art, adventure, and Gothic romance as they slowly drift away from reality. The girls' parents decide that perhaps they're spending too much time together, and try to bring them back into the real world, but this only feeds their continued obsession with Borovnia (and each other) and leads to a desperate and violent bid for freedom. Featuring excellent performances (especially by Kate Winslet) and imaginative production design and special effects, Heavenly Creatures skillfully allows the audience to see Pauline and Juliet both from their own fantastic perspective and how they seem to the rest of the world. Remarkably enough, Heavenly Creatures is based on a true story; in real life, Juliet grew up to become mystery novelist Anne Perry.",R,Drama|Science Fiction and Fantasy|Romance,Peter Jackson,Fran Walsh|Peter Jackson,1994-11-16,2002-09-24,98,Drama,Science Fiction and Fantasy|Romance
214,281,"Seth MacFarlane directs, produces, co-writes and plays the role of the cowardly sheep farmer Albert in A Million Ways to Die in the West. After Albert backs out of a gunfight, his fickle girlfriend leaves him for another man. When a mysterious and beautiful woman rides into town, she helps him find his courage and they begin to fall in love. But when her husband, a notorious outlaw, arrives seeking revenge, the farmer must put his newfound courage to the test. Starring alongside MacFarlane are Oscar (R) winner Charlize Theron, Liam Neeson, Amanda Seyfried, Giovanni Ribisi, Sarah Silverman and Neil Patrick Harris. MacFarlane reunites many of the filmmakers behind Universal and MRC's hit film Ted including Scott Stuber (Bluegrass Films) and Jason Clark who produce, and Wellesley Wild and Alec Sulkin who co-wrote the script. (c)Universal",R,Comedy|Western,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2014-05-30,2014-10-07,116,Comedy,Western
215,282,"This offbeat supernatural thriller concerns a young woman (Marguerite Moreau) with a clinical history of severe agoraphobia, relieved via close physical proximity to walls. For years she has been healthy, but the mental illness returns with a vengeance when spirits turn up in her remotely-situated house and begin to ravage her over the course of one long and grueling night.",NR,Horror,Bob Badway,Bob Badway,2009-07-08,2010-07-27,98,Horror,
216,283,"This pure-pulp thrill ride jumps between past and present as it pieces together the puzzle of a shocking crime. It's 1978 and a bank robbery gone wrong leaves Vivian (The Last Exorcism's Ashley Bell) the hostage of two criminals on the run. But things go from bad to off-the-rails berserk when she and her captors wind up on the sun-baked desert outpost of a deranged ex-military sniper (Pat Healy), who ensnares them in his deadly game of cat and mouse. Rising horror auteur Mickey Keating (Pod, Darling) directs this gritty, grisly homage to the glory days of grindhouse cinema.",NR,Mystery and Suspense,Mickey Keating,Mickey Keating,2016-07-01,2016-07-01,81,Mystery and Suspense,
218,285,"An all new feature film from the twisted minds of cult comedy heroes Tim Heidecker and Eric Wareheim (Tim and Eric Awesome Show, Great Job)",R,Comedy,Tim Heidecker|Eric Wareheim,Doug Lussenhop|Tim Heidecker|Jonathan Krisel|Eric Wareheim,2012-03-02,2012-05-08,94,Comedy,
223,290,Get ready to go deeper undercover with Ricardo Tubbs (Jamie Foxx) and Sonny Crockett (Colin Farrell) in this Unrated Director's Edition that includes footage not seen in theaters,R,Action and Adventure|Drama,Michael Mann,Michael Mann,2006-07-28,2006-12-05,132,Action and Adventure,Drama
224,292,"Missionary Father Laforgue travels to the New World in hopes of converting Algonquin Indians to Catholicism. Accepted, though warily, by the Indians, Laforgue travels with the Indians using his strict Catholic rules and ideals to try and impose his religion.",R,Action and Adventure|Art House and International|Drama|Faith and Spirituality,Bruce Beresford,Brian Moore,1991-09-05,1998-07-07,101,Action and Adventure,Art House and International|Drama|Faith and Spirituality
225,293,"This thoroughly weird but truly inspired monster flick is one of the earliest gore films to splatter across drive-in screens in the years prior to Herschell Gordon Lewis' notorious Blood Trilogy. The plot finds a besotted movie star (Rita Morley) and her entourage trapped on an island surrounded by aquatic flesh-munching amoebas (represented by scratches on the film emulsion) created by mad scientist Peter Bartell (Martin Kosleck). These sparkly little death-blobs make mincemeat of most of the cast, including a dorky beatnik (Ray Tudor) who ingests a few of the little buggers in his drink -- leading to an agonizingly fatal case of indigestion. Good photography and well-designed makeup effects make the most of a shoestring budget. Film editor Radley Metzger found his own way as the director of numerous soft-porn films in the '60s and '70s.",NR,Classics|Horror,Jack Curtis,Arnold Drake,1964-03-18,2005-10-25,87,Classics,Horror
226,295,A couple who cannot have children (Glenn Close and James Woods) seeks the aid of a surrogate mother (Mary Stuart Masterson) in this drama from Jonathan Kaplan.,PG-13,Drama,Jonathan Kaplan,Barbara Benedek,1989-10-27,2003-04-22,100,Drama,
230,300,"Liz Gilbert had everything a modern woman is supposed to dream of having -- a husband, a house, a successful career -- yet like so many others, she found herself lost, confused, and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali.",PG-13,Drama,Ryan Murphy,Ryan Murphy|Jennifer Salt,2010-08-13,2010-11-23,133,Drama,
231,301,"From writer/director David Koepp (Stir of Echoes) comes this filmed adaptation of Stephen King's novella Secret Window, Secret Garden, one of four stories in the collection Four Past Midnight. Johnny Depp stars as Mort Rainey, a recently divorced author who decides to take some time off at his cottage. Unfortunately for Rainey, John Shooter (John Turturro), an unbalanced wannabe writer, tracks him down, claiming that Rainey plagiarized his work. Also starring Maria Bello, Charles S. Dutton, and Timothy Hutton, Secret Window is the second story from Four Past Midnight to be adapted as a film, the first being 1995's made-for-television The Langoliers.",PG-13,Drama|Mystery and Suspense,David Koepp,David Koepp,2004-03-12,2004-06-22,95,Drama,Mystery and Suspense
232,302,"Based on a Michael Crichton best-seller, Philip Kaufman's look at power, corruption and lies in Japanese-owned corporate America follows veteran-cop John Connor (Sean Connery) and his rookie partner Web Smith (Wesley Snipes) as they investigate the death of a prostitute whose body was found in the boardroom of a high-powered, Japanese-run Los Angeles conglomerate.",R,Action and Adventure|Drama|Mystery and Suspense,Philip Kaufman,David Mamet|Philip Kaufman|Michael Crichton|Michael Backes,1993-07-30,2000-06-20,129,Action and Adventure,Drama|Mystery and Suspense
234,304,"Friends with Kids is a daring and poignant ensemble comedy about a close-knit circle of friends at that moment in life when children arrive and everything changes. The last two singles in the group observe the effect that kids have had on their friends' relationships and wonder if there's a better way. They decide to have a kid together - and date other people. There are big laughs and unexpected emotional truths as this unconventional 'experiment' leads everyone in the group to question the nature of friendship, family and, finally, true love. -- (C) Official Site",R,Comedy|Drama,Jennifer Westfeldt,Jennifer Westfeldt,2012-03-09,2012-07-17,107,Comedy,Drama
235,305,"A blend of science fiction and noir detective fiction, Blade Runner (1982) was a box office and critical bust upon its initial exhibition, but its unique postmodern production design became hugely influential within the sci-fi genre, and the film gained a significant cult following that increased its stature. Harrison Ford stars as Rick Deckard, a retired cop in Los Angeles circa 2019. L.A. has become a pan-cultural dystopia of corporate advertising, pollution and flying automobiles, as well as replicants, human-like androids with short life spans built by the Tyrell Corporation for use in dangerous off-world colonization. Deckard's former job in the police department was as a talented blade runner, a euphemism for detectives that hunt down and assassinate rogue replicants. Called before his one-time superior (M. Emmett Walsh), Deckard is forced back into active duty. A quartet of replicants led by Roy Batty (Rutger Hauer) has escaped and headed to Earth, killing several humans in the process. After meeting with the eccentric Eldon Tyrell (Joe Turkel), creator of the replicants, Deckard finds and eliminates Zhora (Joanna Cassidy), one of his targets. Attacked by another replicant, Leon (Brion James), Deckard is about to be killed when he's saved by Rachael (Sean Young), Tyrell's assistant and a replicant who's unaware of her true nature. In the meantime, Batty and his replicant pleasure model lover, Pris (Darryl Hannah) use a dying inventor, J.F. Sebastian (William Sanderson) to get close to Tyrell and murder him. Deckard tracks the pair to Sebastian's, where a bloody and violent final confrontation between Deckard and Batty takes place on a skyscraper rooftop high above the city. In 1992, Ridley Scott released a popular director's cut that removed Deckard's narration, added a dream sequence, and excised a happy ending imposed by the results of test screenings; these legendary behind-the-scenes battles were chronicled in a 1996 tome, Future Noir: The Making of Blade Runner by Paul M. Sammon.",R,Drama|Science Fiction and Fantasy,Ridley Scott,David Webb Peoples,1982-06-25,1997-08-27,114,Drama,Science Fiction and Fantasy
236,306,"X the Unknown is a well-crafted imitation of the Quatermass British sci-fi pictures of the 1950s. A group of soldiers on maneuvers in Scotland stumble across a gravel pit which emanates an unusual amount of radiation. Several deaths occur before the radioactive material is mysteriously stolen. Researcher Dr. Adam Royston (Dean Jagger) speculates that the thief is some sort of inhuman monstrosity dwelling at the Earth's core. He points out that past radioactive disturbances have been occurring at 50-year intervals, each followed by sudden deaths and the disappearance of the material. Royston suggests that the unknown monster has been resuscitated by humankind's recent atomic experiments. Sure enough, the monster manifests itself as a huge slab of glowing radioactive mud (laugh now if you must -- you won't laugh when you see it). X the Unknown works well within its limited budget; unfortunately, many TV prints have been truncated, robbing some of the best horrific moments of their full impact.",NR,Classics|Horror|Mystery and Suspense|Science Fiction and Fantasy,Joseph Losey|Leslie Norman,Jimmy Sangster,1956-11-05,2004-07-26,90,Classics,Horror|Mystery and Suspense|Science Fiction and Fantasy
238,309,"The first person the audience sees in Ship of Fools is dwarf Michael Dunn, who speaks to viewers directly and acts as a Greek chorus throughout the film. It begins on the deck of an ocean liner travelling from Vera Cruz to Bremerhaven. The time is the 1930s, so close and yet so far from war. The cross-section of humanity on board includes ship's doctor Oscar Werner, Spanish political activist Simone Signoret, aging coquette Vivien Leigh, hedonistic baseball player Lee Marvin, philosophical Jew Heinz Ruhmann, a smattering of pro- and anti-Hitlerites (Jose Ferrer plays the nastiest and most vocal ""pro"") and young lovers George Segal and Elizabeth Ashley. Yes, it's Grand Hotel at sea, a feast for stargazers and an endurance test for those who aren't comfortable with non-stop speechmaking. Despite such lines as ""What can the Nazis do? Kill all six million of us?,"" Ship of Fools manages to stay afloat throughout its 148 minutes. Michael Dunn was nominated for an Academy Award for his interlocutory characterization; the rest of the performances range from brilliant to merely filling up the room. Other Oscars were presented to cinematographer Ernest Lazslo and to the art-direction staff. Ship of Fools was adapted by Abby Mann from the novel by Katharine Ann Porter.",NR,Classics|Documentary|Drama|Romance,Stanley Kramer,Abby Mann,1965-07-29,2003-12-02,52,Classics,Documentary|Drama|Romance
239,310,"Though made in Britain and Europe, Eagle's Wing qualifies as a Western. Easterner Pike (Martin Sheen) does a lot of growing up in a hurry when he becomes a trapper out-West. By mid-film, Pike is accomplished enough to compete with Comanche chief White Bull (Sam Waterston, there's a masterpiece of nontypecasting",PG,Action and Adventure|Western,Anthony Harvey,John Briley,1979-11-23,1992-07-10,111,Action and Adventure,Western
240,311,"In Fiorile (US title: Wild Flower), Italy's Taviani brothers once again dissect the manners and mores of the Tuscany region. The story is predicated on a 200-year-old family curse. During the Napoleonic era, Elizabetta ""Fiorile"" Benedetti (Galatea Ranzi) discovers that her own brother Corado (Claudio Bigagli) is responsible for the crime for which her lover Jean (Michael Vartan) was executed. The embittered Fiorile places a curse on the Benedetti family, declaring that none of her brother's direct descendants will ever achieve true happiness. Over the next two centuries, the Benedettis' ill-gotten wealth increases, but they lose the love and respect of their neighbors. In fact, most people prefer to call the Benedetti family the ""Maledettis,"" or the Cursed Ones. The film's final episode occurs during World War II, as Grandpa Massimo Benedetti (Renato Carpentieri), the last family member directly affected by the curse, relates his tale of woe to a pair of youngsters. Will the curse die with Massimo, or will the innocent young ones be forced to carry it into the next generation? Fiorile is not the sort of movie one sits back and relaxes with, despite its leisurely pace; those willing to work with the film, however, will be amply rewarded.",PG-13,Art House and International|Drama,Paolo Taviani|Vittorio Taviani,Paolo Taviani|Vittorio Taviani|Sandro Petraglia,1993-01-01,2008-04-01,120,Art House and International,Drama
242,313,"Set against the backdrop of 1970's Texas Hill Country, AIN'T THEM BODIES SAINTS is a romantic American story that follows three characters on various sides of the law - outlaw Bob Muldoon (Casey Affleck), his wife Ruth Guthrie (Rooney Mara), and a local sheriff named Patrick Wheeler (Ben Foster), who gets caught in their crosshairs. The film, which is the second feature from writer-director David Lowery, was developed at the Sundance Institute's Writing and Producing Labs and also stars Nate Parker and Keith Carradine. The film received the U.S. Dramatic Cinematography Award at the 2013 Sundance Film Festival. (c) IFC",R,Drama,David Lowery,David Lowery,2013-08-16,2013-12-17,105,Drama,
246,321,"Unlimited funds have allowed Diana (McCarthy) to live it up on the outskirts of Miami, where the queen of retail buys whatever strikes her fancy. There's only one glitch: The ID she's using to finance these sprees reads ""Sandy Bigelow Patterson""....and it belongs to an accounts rep (Bateman) who lives halfway across the U.S. With only one week to hunt down the con artist before his world implodes, the real Sandy Bigelow Patterson heads south to confront the woman with an all-access pass to his life. And as he attempts to bribe, coax and wrangle her the 2,000 miles to Denver, one easy target will discover just how tough it is to get your name back. -- (C) Official Site",R,Comedy,Seth Gordon,Craig Mazin,2013-02-07,2013-06-04,111,Comedy,
247,322,"When her heart is stolen by a seductive stranger, a young woman is swept away to a house atop a mountain of blood-red clay: a place",R,Horror,Guillermo del Toro,Guillermo del Toro|Matthew Robbins|Lucinda Coxon,2015-10-16,2016-02-09,119,Horror,
249,326,"Unique improvisational techniques are employed to construct an intimate portrait of people's lives as a married couple that has remained happy over the years is surrounded, during the course of one year, by friends, colleagues and family members, all who suffer some degree of unhappiness.",PG-13,Comedy|Drama,Mike Leigh,Mike Leigh,2010-12-29,2011-06-07,129,Comedy,Drama
251,328,"In this exploitation film, a sadistic juvenile delinquent stabs a matron and sets fire to the reformatory where she has been staying. After busting out, she heads to the house of an aspiring politician. The voluptuous fugitive is difficult to resist, and soon she is busily destroying the man's life.",NR,Action and Adventure|Classics|Drama|Mystery and Suspense,Douglas Heyes,Douglas Heyes,1964-11-04,2000-10-31,83,Action and Adventure,Classics|Drama|Mystery and Suspense
255,333,"This film is set in an undetermined foreign land, torn apart by a bloody civil war. Husband and wife musicians Jan and Eva flee to a remote island to escape the carnage. When the island is invaded and used as a battlefield, the effect on the couple's relationship is disastrous.",R,Drama,Ingmar Bergman,Ingmar Bergman,1968-12-23,2004-04-20,103,Drama,
256,334,"Ed Wood was a little known film-maker from the early 1950's who gained posthumous notoriety for his dreadful B-grade science fiction films in the mid-'80s. This film is producer/director Tim Burton's fictionalized portrait of Wood's strange, yet mediocre life and career. Burton filmed ""Ed Wood"" in black and white to recreate the atmosphere of Wood's films. The film primarily focuses on three aspects of Wood's life, his transvestism, his relationships with his oddball casts and crew as he tried to make his films on shoestring budgets, and his friendship with aging horror-movie great Bela Lugosi whom he tried to help.",R,Comedy|Drama,Tim Burton,Scott Alexander|Larry Karaszewski,1994-09-28,2002-08-13,124,Comedy,Drama
259,337,"In 1937, Nanking stands at the forefront of a war between China and Japan. As the invading Japanese Imperial Army overruns China's capital city, desperate civilians seek refuge behind the nominally protective walls of a western cathedral. Here, John Miller (Christian Bale), an American trapped amidst the chaos of battle and the ensuing occupation takes shelter, joined by a group of innocent schoolgirls and thirteen courtesans, equally determined to escape the horrors taking place outside the church walls. Struggling to survive the violence and persecution wrought by the Japanese army, it is an act of heroism which eventually leads the seemingly disparate group to fight back, risking their lives for the sake of everyone. -- (C) Wrekin Hill",R,Art House and International|Drama|Special Interest,Yimou Zhang,Yan Geling,2011-12-21,2012-07-10,142,Art House and International,Drama|Special Interest
260,338,"""Hereafter"" tells the story of three people who are touched by death in different ways. George is a blue-collar American who has a special connection to the afterlife. On the other side of the world, Marie, a French journalist, has a near-death experience that shakes her reality. And when Marcus, a London schoolboy, loses the person closest to him, he desperately needs answers. Each on a path in search of the truth, their lives will intersect, forever changed by what they believe might -- or must -- exist in the hereafter.",PG-13,Drama|Mystery and Suspense,Clint Eastwood,Peter Morgan,2010-10-22,2011-03-15,126,Drama,Mystery and Suspense
261,345,"When five struggling single moms put aside their differences to form a support group, they find inspiration and laughter in their new sisterhood, and help each other overcome the obstacles that stand in their way. (c) Lionsgate",PG-13,Comedy|Drama,Tyler Perry,Tyler Perry,2014-03-14,2014-07-22,111,Comedy,Drama
262,346,"Successful restaurateur Will Keane is on the verge of turning fifty, yet he's still quite the playboy with a persistent case of commitment-phobia. When he meets Charlotte Fielding, a free spirited woman half his age, he expects another quick and easy romance. But their nothing about their relationship is quick or easy. Instead their encounters are rife with intergenerational clashes, differing philosophies and an urgent sense of sensuality and connection. Just when Will is tempted to bail out with his usual line about ""not promising forever,"" Charlotte responds with reasons of her own about why she feels this relationship can't last forever -- she's dying.",PG-13,Drama|Romance,Joan Chen,Allison Burnett,2000-08-11,2001-11-14,103,Drama,Romance
263,348,"Dean Martin and Jerry Lewis made their last joint film appearance in the girl-filled musical Hollywood or Bust. The thinnish plot finds inveterate film fan Jerry making a cross-country journey to Tinseltown for the purpose of meeting his favorite screen star, the buxom Anita Ekberg (the film's title, need it be added, has a double meaning). Dean goes along for the ride, hoping to expand his bankroll during a Las Vegas stopover. The boys are joined by a third traveller, an enormous Great Dane named Mr. Bascomb; along the way, the trio becomes a quartet when pretty Pat Crowley hitches a ride. The finale takes place in Hollywood, naturally, as Jerry wreaks havoc at a film studio which looks suspiciously like Paramount. All reports indicate that Hollywood and Bust was an unhappy shoot, with Jerry Lewis behaving so obstreperously that director Frank Tashlin ordered him off the set and told him to go home until he learned to behave himself; to this day, Lewis cannot bring himself to watch the film. Happily, the animosity between the two stars never comes across on screen, and as a result Hollywood or Bust is a most enjoyable diversion.",NR,Classics|Comedy,Frank Tashlin,Erna Lazarus,1956-01-01,2007-06-05,95,Classics,Comedy
266,352,"In this romance, warmhearted florist Lewis spies a lovely young woman crying in her apartment and decides to cheer her up by sending her an anonymous bouquet. Deeply touched by the gesture, the woman discovers Lewis' identity, and the two begin a wonderful, although thorny, romance.",PG,Drama|Romance,Michael Goldenberg,Michael Goldenberg,1995-06-01,1999-07-27,87,Drama,Romance
267,353,"Robert (character actor David Thornton) is a grumpy burned-out musician, trying to survive in Manhattan. When his fed-up friend Rose (Thornton's real-life wife Cyndi Lauper in a small role) throws him out of her apartment, the destitute Robert reluctantly makes a deal with the young Serbian, Branko (Branislav Trifunovic), who's moving his stuff out. For a hefty fee, Robert agrees to fly to Belgrade and marry Branko's girlfriend, Ivana (Jelena Mrdja), so that she can move to New York. Branko gives him a down payment, and Robert goes to Belgrade and moves in with Branko's mother, Olga (Mirjana Karanovic of Emir Kusturica's When Father was Away on Business and Underground). Robert is predictably miserable there, unimpressed with the city's culture and unresponsive to Olga's kindness. Back in New York, Branko faces his own struggles. While he's desperately trying to raise the money to pay Robert, his van is stolen. He begs Robert to stay in Belgrade for another week until he can send the money. Devoid of options, Robert agrees, and, despite himself, slowly begins to enjoy his stay. Here and There marks the narrative feature debut of writer-director Darko Lungulov. The film had its International Premiere at the 2009 Tribeca Film Festival, where it won the award for Best New York Narrative.",NR,Art House and International|Comedy|Drama,Darko Lungulov,Darko Lungulov,2010-05-14,2010-07-13,90,Art House and International,Comedy|Drama
268,354,"Bob Hope's first starring vehicle for producer Sam Goldwyn borrows the title of Bob's 1942 autobiography They Got Me Covered and very little else. Co-scripted by Leonard Q. Ross (aka Leo Rosten), Leonard Spigelgass and Harry Kurnitz (among many others",NR,Classics|Comedy|Musical and Performing Arts,David Butler,Frank Fenton|Harry Kurnitz|Lynn Root,1943-03-04,2003-08-21,95,Classics,Comedy|Musical and Performing Arts
269,355,"Crossing new lines and breaking old barriers, A HAUNTED HOUSE 2 is the sequel to the hilarious box-office hit starring Marlon Wayans as Malcolm who, after exorcising the demons of his ex, is starting fresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events. With spine-tingling tension and hilarious punch-lines A HAUNTED HOUSE 2 is inspired by the latest supernatural horror movie franchises and shows that this time... it's not just the house that's haunted",R,Comedy,Michael Tiddes,Marlon Wayans,2014-04-18,2014-08-12,87,Comedy,
270,356,"The film follows the second Earl of Rochester's adventures in London, from his passionate romance with a young actress, Elizabeth Barry, to the writing of a scurrilous play which blisteringly and bawdily lampoons the very monarch who commissioned it, Charles II, leading to the Earl's banishment and eventual downfall.",R,Drama,Laurence Dunmore,Stephen Jeffreys,2006-03-10,2006-07-04,114,Drama,
